_id,value,error
R33d5fbf920157dc3e73e4c63ecc024a786d0de697541fcb67a7f87b8ff63c478,202.90727790419976,104820.04337139276
Rc1622885c12b41da553f689d0201e58bec9250f86acc8ffde54ff5a45a081e47,205.69477020331044,104820.17054898266
R3a966523603d89b00983e9e38ba3e97eb490992716954b7f579168ee267f6f16,169.46979115607917,104822.8115316437
Rc388bc597a4145198f6651a1e980024023c9feae40acc53f6da45ee678800de7,188.1174264083577,104819.71807513328
R758a826b4870dc99c4e926cf9753f41865a80f8efc6105e804a5dd0ef2557085,93.06837659471057,141433.1492299209
Rfcbf60b44b3c4c7dce46213bddbac5eaca44800744fd3acfe7e2e26fc3578eed,381.6239898536668,154745.29966069254
Rc1e3c2f435e4ca8982991fd88fea2ca68eaa52c2192a1047828a87645875d4f0,88.44851065071123,141433.09625068214
R93de66790f3cd22c16cae2ae8de3dbd9b8f2ca251208b2eab7d5523f69ca11ee,-4.393896343625443,1.4533977640956264
Rfd9515efa6f98ad69270ecf7269ccc9d8df2c1c41cbf04c741cbf4ac3865da35,189.94782276955868,104819.76493596754
Rc51a4c9383ec3f0ff2bfe5ee7806979a339bed2013cd492f2ef19e9096176989,-3.747746242978451,1.4533977640956264
R48556f71419bd4fd8e21bbad23c46e032d3bed2796e67421e68b5cdf28b63e5d,77.97007083944641,100008.80907031779
R5467289fc09d1a3c216e4abdceb85d9c7f3bb31573beedf68ba40eee2e366dd4,-2.9947451239671636,0.7089597540272913
R42ff12ea2f9a64f9020dd8cf6fd4269c0c05348be1c4c7e31c916cfe3ba20fe7,0.3949020150163278,100011.20778468926
R3e41e0b3507d63434cd67ac3106720bafb1866d98b056fd23e59b562aae2e51f,-3.4302337041441433,1.4533977640956264
Rd7ef5c1d9cf06461135880d715d33617f4b483d72cd7ed05cd083980dd26aff5,159.8622056861791,104817.16191274271
Rb915144124e4cff6c92888b727532ecc1f66f0e84911a0e7b75c92b813f883cb,0.39490854173413936,100011.20778468926
R73b40dd2dcbc79aa25ef9cc7cd04801074e8d0c5f98a346eddb22c0078149f1b,165.14402873948973,144877.40260145173
Rf4c08ce6b54794dbe701ef7e4430e8052cb1036cac871711b88468cf7650b446,384.92785759123853,154745.22684257347
R8abd212c5eb73efe7d33128cdbea2ac3763f8705106306b6d0b9b7776977c105,382.14229405869867,154745.29966069254
R7a4bb8a3d56cc025877d20a1bf6cfc71c4ceb9c53dca24daad7ccf6142480159,-4.590115863958999,1.4533977640956264
R365d290b1fb6e1f6e9e0e6280fa0af7e3cdd44e5f7416731aa417971a62ec547,-26.811423047698668,100008.99387426171
Rca7b3c1195f2433fbf36a769ad4e67a39c6d5a463bea2674d62e5b70119aa809,192.66181432596295,104819.88265795326
R849fdef56ce4bb1b4ce77c84ef85fb72ce72b5a0be54f6f0968f97d684bde533,-18.198883065985115,100009.34848307102
R8146acc7e62fb7ea04f396b1d13b23c8421c29c4c3f9a5a842ab08a23f5dc267,158.57932618887332,104817.16191274271
